Year,Processing Snapshot Date,Scholarship Name,Metric Type,Sector Type,TAP Sector Group,TAP College Code,Federal School Code,TAP College Name,College Region Name,Headcount Type,Headcount
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,4-SUNY CC,2000,2860,ADIRONDACK COMMUNITY COLLEGE,Capital District,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,995,2885,ALBANY COLLEGE OF PHARMACY,Capital District,Eligible Applicant(s),24
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,140,2705,COLLEGE OF SAINT ROSE,Capital District,Eligible Applicant(s),22
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,4-SUNY CC,2038,6789,COLUMBIA-GREENE COMMUNITY COLLEGE,Capital District,Eligible Applicant(s),1
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,999,2834,EXCELSIOR COLLEGE,Capital District,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,4-SUNY CC,2080,2868,HUDSON VALLEY COMMUNITY COLLEGE,Capital District,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,635,2803,RENSSELAER POLYTECHNIC INST,Capital District,Eligible Applicant(s),12
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,685,2816,SIENA COLLEGE,Capital District,Eligible Applicant(s),11
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,855,2814,SKIDMORE COLLEGE,Capital District,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,3-SUNY SO,895,2835,SUNY ALBANY (UNDERGRAD),Capital District,Eligible Applicant(s),19
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,675,2810,THE SAGE COLLEGES,Capital District,Eligible Applicant(s),1
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,990,2889,UNION COLLEGE,Capital District,Eligible Applicant(s),5
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,4-SUNY CC,2005,2861,CAYUGA COMMUNITY COLLEGE,Central New York,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,2035,2685,CAZENOVIA COLLEGE,Central New York,Eligible Applicant(s),1
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,125,2701,COLGATE UNIVERSITY,Central New York,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,375,2748,LEMOYNE COLLEGE,Central New York,Eligible Applicant(s),22
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,3-SUNY SO,3030,2859,MORRISVILLE STATE COLLEGE,Central New York,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,3-SUNY SO,6030,2859,MORRISVILLE STATE COLLEGE,Central New York,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,4-SUNY CC,2185,2875,ONONDAGA COMMUNITY COLLEGE,Central New York,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,3-SUNY SO,910,2843,SUC CORTLAND (UNDERGRAD),Central New York,Eligible Applicant(s),11
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,3-SUNY SO,950,2851,SUC ENV SCI&FORESTRY,Central New York,Eligible Applicant(s),11
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,3-SUNY SO,935,2848,SUC OSWEGO (UNDERGRAD),Central New York,Eligible Applicant(s),15
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,985,2882,SYRACUSE UNIVERSITY (UNDERGRAD),Central New York,Eligible Applicant(s),40
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,1050,2901,WELLS COLLEGE,Central New York,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,4-SUNY CC,2256,7532,FINGER LAKES COMMUNITY COLLEGE,Finger Lakes,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,4-SUNY CC,2252,6782,GENESEE COMMUNITY COLLEGE,Finger Lakes,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,295,2731,HOBART AND WILLIAM SMITH COLLEGES,Finger Lakes,Eligible Applicant(s),5
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,345,2744,KEUKA COLLEGE,Finger Lakes,Eligible Applicant(s),5
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,4-SUNY CC,2180,2872,MONROE COMMUNITY COLLEGE,Finger Lakes,Eligible Applicant(s),4
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,525,2779,NAZARETH COLLEGE,Finger Lakes,Eligible Applicant(s),90
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,640,2805,ROBERTS WESLEYAN COLLEGE,Finger Lakes,Eligible Applicant(s),9
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,650,2806,ROCHESTER INSTITUTE OF TECHLGY,Finger Lakes,Eligible Applicant(s),63
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,735,2821,ST JOHN FISHER COLLEGE,Finger Lakes,Eligible Applicant(s),18
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,3-SUNY SO,900,2841,SUC BROCKPORT (UNDERGRAD),Finger Lakes,Eligible Applicant(s),10
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,3-SUNY SO,920,2845,SUC GENESEO,Finger Lakes,Eligible Applicant(s),38
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,1015,2894,UNIVERSITY OF ROCHESTER,Finger Lakes,Eligible Applicant(s),21
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,2045,7304,CULINARY INSTITUTE OF AMERICA,Hudson Valley,Eligible Applicant(s),1
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PUBLIC,4-SUNY CC,2053,2864,DUTCHESS COMMUNITY COLLEGE,Hudson Valley,Eligible Applicant(s),1
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,325,2737,IONA COLLEGE,Hudson Valley,Eligible Applicant(s),3
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,440,2765,MARIST COLLEGE,Hudson Valley,Eligible Applicant(s),15
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,2100,2772,MERCY COLLEGE,Hudson Valley,Eligible Applicant(s),2
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,2110,2778,MOUNT SAINT MARY COLLEGE,Hudson Valley,Eligible Applicant(s),11
2015,09/25/2015,NYS Achievement and Investment in Merit Scholarship,College,PRIVATE,5-INDEPENDENT,575,2790,NYACK COLLEGE,Hudson Valley,Eligible Applicant(s),3
